一类动词,,,,,,,,,,,,,
,,持ち帰り,带回，拿回,持ち帰ります,もちかえって,もちかえらない,もちかえった,もちかえれ,もちかえろう,もちかえれば,もちかえれる,もちかえられる,もちかえらせる
,,持つ,拿，带；有，拥有,持ちます,もって,もたない,もった,もて,もとう,もてば,もてる,もたれる,もたせる
,,戻す,还，退回；恢复，复原,戻します,もどして,もどさない,もどした,もどせ,もどそう,もどせば,もどせる,もどされる,もどさせる
,,戻る,返回，恢复，退回,戻ります,もどって,もどらない,もどった,もおれ,もどろう,もどれば,もどれる,もどられる,もどらせる
,,もらう,领取，得到；请求,もらいます,もらって,もらわない,もらった,もらえ,もらおう,もらえば,もらえる,もらわれる,もらわせる
,,焼く,烧，烤，晒（黑）,焼きます,やいて,やかない,やいた,やけ,やこう,やけば,やける,やかれる,やかせる
,,訳す,翻译,訳します,やくして,やくさない,やくした,やくせ,やくそう,やくせば,やくせる,やくされる,やくさせる
,,役立つ,有用，有益，起作用,役立ちます,やくだって,やくだない,やくだった,やくだて,やくだとう,やくだてば,やくだてる,やくだたれる,やくだたせる
,,休む,休息，睡，请假，缺勤,休みます,やすんで,やすまない,やすんだ,やすめ,やすもう,やすめば,やすめる,やすまれる,やすませる
,,雇う,雇用,雇います,やとって,やとわない,やとった,やとえ,やとおう,やとえば,やとえる,やとわれる,やたわせる
,,破る,弄破，破坏,破ります,やぶって,やぶらない,やぶった,やぶれ,やぶろう,やぶれば,やぶれる,やぶられる,やぶらせる
,,やむ,停止；生病；烦恼,やみます,やんで,やまない,やんだ,やめ,ー,やめば,ー,ー,ー
,,やる,做（作业）,やります,やって,やらない,やった,やれ,やろう,やれば,やれる,やられる,やらせる
,,汚す,弄脏，玷污,汚します,よごして,よごさない,よごした,よごせ,よごそう,よごせば,よごせる,よごされる,よごさせる
,,呼ぶ,招呼，唤来,呼びます,よんで,よばない,よんだ,よべ,よぼう,よべば,よべる,よばれる,よばせる
,,読む,读，看,読みます,よんで,よまない,よんだ,よめ,よもう,よめば,よめる,よまれる,よませる
,,寄る,顺便去…；靠近,寄ります,よって,よらない,よった,よれ,よろう,よれば,よれる,よられる,よらせる
,,喜ぶ,高兴,喜びます,よろこんで,よろこばない,よろこんだ,よろこべ,よろこぼう,よろこべば,よろこべる,よろこばれる,よろこばせる
,,分かる,明白，理解,分かります,わかって,わからない,わかった,わかれ,わかろう,わかれば,ー,ー,わからせる
,,渡す,交给，给…,渡します,わたして,わたさない,わたした,わたせ,わたそう,わたせば,わたせる,わたされる,わたさせる
,,渡る,渡，过；经过,渡ります,わたって,わたらない,わたった,わたれ,わたろう,わたれば,わたれる,わたられる,わたらせる
,,笑う,笑；嘲笑；,笑います,わらって,わらわない,わらった,わらえ,わらおう,わらえば,わらえる,わらわれる,わらわせる
,,割る,切，分，割；（算术）除,割ります,わって,わらない,わった,われ,わろう,われば,われる,わられる,わらせる
二类动词,,,,,,,,,,,,,
,,浴びる,浇，淋，浴；遭，受,浴びます,あびて,あびない,あびた,あびろ,あびよう,あびれば,あびられる,あびられる,あびさせる
,,生きる,活，生存；有价值,生きます,いきて,いきない,いきた,いきろ,いきよう,いきれば,いきられる,いきられる,いきさせる
,,いる,要，需要；（人等）在,います,いて,いない,いた,いろ,いよう,いれば,いられる,いられる,いさせる
,,起きる,起床；发生,起きます,おきて,おきない,おきた,おきろ,おきよう,おきれば,おきられる,おきられる,おきさせる
